,user,course,account,year,progress
2167,1895425,488788,3838,2019,94.57
2168,1895425,488812,3838,2019,81.82
2169,1895425,488776,3838,2019,58.41
2170,1895425,488815,3838,2019,87.01
2171,1895425,502562,3838,2020,33.61
2172,1991837,516173,3836,2020,54.88
2173,1991837,501922,3836,2020,66.67
2174,1895640,488778,3838,2019,68.31
2175,1895640,488788,3838,2019,55.37
2176,1895426,489124,3834,2019,66.37
2177,1895426,489069,3834,2019,89.68
2178,1867991,516219,3842,2020,86.05
2179,1867991,501875,3842,2020,25.0
2180,1695734,511574,3827,2020,88.13
2181,1695734,511575,3827,2020,71.81
2182,1695734,511576,3827,2020,59.08
2183,1695734,511577,3827,2020,51.12
2184,1695734,501871,3827,2020,51.72
2185,1867293,472576,3838,2018,66.36
2186,1867293,488788,3838,2019,10.35
2187,1872108,471137,3839,2018,100.0
2188,1996179,502362,3824,2020,35.23
2189,1838714,511574,3827,2020,88.09
2190,1838714,511575,3827,2020,77.42
2191,1838714,511576,3827,2020,59.06
2192,1838714,511577,3827,2020,51.06
2193,1838714,501871,3827,2020,51.73
2194,1920049,511033,3839,2020,24.79
2195,1920049,502743,3839,2020,100.0
2196,1920049,502761,3839,2020,10.14
2197,1895427,489074,3883,2019,100.0
2198,1895427,502793,3883,2020,46.5
2199,1547012,469596,3819,2018,100.0
2200,1859477,489069,3834,2019,92.63
2201,1859477,502599,3843,2020,0.43
2202,1859477,502115,3834,2020,8.22
2203,1812283,470998,3883,2018,30.45
2204,1812283,469749,3883,2018,61.62
2205,1812266,489384,3848,2018,77.85
2206,1985820,502592,3843,2020,8.4
2207,1864133,489112,3883,2019,8.58
2208,1579388,488517,3819,2019,1.99
2209,1579388,502023,3832,2020,71.34
2210,1592880,445906,3883,2017,66.56
2211,1918313,501898,3834,2020,33.33
2212,1918313,523523,3834,2020,17.24
2213,1918313,502152,3820,2020,100.0
2214,1841090,502119,3834,2020,12.31
2215,1576808,521307,3946,2020,62.67
2216,1576808,521308,3946,2020,87.5
2217,1620740,473686,3820,2018,0.86
2218,1832590,470573,3843,2018,4.52
2219,1853937,469751,3883,2018,76.81
2220,1853937,469751,3883,2018,76.81
2221,1853937,472578,3838,2018,61.73
2222,1853937,472576,3838,2018,74.44
2223,1853937,488776,3838,2019,96.23
2224,1853937,488815,3838,2019,80.52
2225,1853937,488819,3838,2019,7.82
2226,1854001,469751,3883,2018,76.96
2227,1854001,469751,3883,2018,76.96
2228,1895794,489190,3821,2019,55.5
2229,1895794,502309,3821,2020,100.0
2230,1895794,523717,3821,2020,68.21
2231,1841233,501977,3819,2020,83.62
2232,1840142,488474,3911,2019,88.83
2233,1840142,488475,3911,2019,29.83
2234,1840142,488472,3911,2019,27.75
2235,1840142,488464,3911,2019,74.83
2236,2005970,501932,3824,2020,8.34
2237,1873898,489069,3834,2019,88.2
2238,1873898,502101,3834,2020,30.0
2239,1561191,489043,3839,2019,27.28
2240,1593760,501971,3819,2020,100.0
2241,1593760,501970,3819,2020,95.68
2242,1821196,502805,3840,2020,96.26
2243,1687044,416664,3848,2016,84.38
2244,1687044,416663,3848,2016,7.74
2245,1687044,441094,3848,2017,17.72
2246,1895429,488932,3866,2019,89.65
2247,1892612,488498,3819,2019,24.35
2248,1895430,489085,3824,2019,48.27
2249,1714700,470573,3843,2018,4.53
2250,1992806,516172,3835,2020,18.73
2251,1887665,489102,3834,2019,78.44
2252,1647990,470580,3945,2018,97.31
2253,1647990,470580,3945,2018,97.31
2254,1852614,489197,3821,2019,22.95
2255,1852614,502308,3821,2020,1.61
2256,1852614,501867,3821,2020,33.33
2257,1852614,502309,3821,2020,46.07
2258,1992761,520870,3838,2020,97.82
2259,1992761,520871,3838,2020,4.36
2260,1805456,441132,3834,2017,94.17
2261,1506670,501894,3820,2020,8.33
2262,1506670,502152,3820,2020,35.35
2263,1868299,470895,3821,2018,13.71
2264,1852957,472576,3838,2018,66.37
2265,1852957,472578,3838,2018,0.7
2266,1893539,502195,3820,2020,14.59
2267,1893539,501894,3820,2020,33.33
2268,1919419,490826,3843,2019,6.64
2269,1919419,498240,3843,2019,61.69
2270,1919419,488881,3843,2019,51.17
2271,1919419,488896,3843,2019,1.59
2272,1985317,511033,3839,2020,91.74
2273,1985317,502215,3839,2020,100.0
2274,1985317,511040,3839,2020,55.14
2275,1985317,511040,3839,2020,55.14
2276,1932124,501923,3911,2020,16.99
2277,1932124,501930,3911,2020,2.97
2278,1832405,440936,3825,2017,100.0
2279,2000186,502305,3821,2020,8.57
2280,1858971,489124,3834,2019,42.56
2281,1858971,501898,3834,2020,33.34
2282,1858971,502121,3834,2020,24.19
2283,1858971,523523,3834,2020,17.24
2284,1810375,445908,3883,2017,96.46
2285,1810375,445897,3883,2017,0.28
2286,1810375,445909,3883,2017,48.77
2287,1810375,445906,3883,2017,66.56
